,total,1930,1934,1958,1962,1966,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018
Gabriel Batistuta,10,,,,,,,,,,,4,5,1,,,,
Diego Maradona,8,,,,,,,,2,5,,1,,,,,,
Guillermo Stábile,8,8,,,,,,,,,,,,,,,,
Mario Kempes,6,,,,,,,6,,,,,,,,,,
Gonzalo Higuaín,5,,,,,,,,,,,,,,,4,1,
Lionel Messi,5,,,,,,,,,,,,,,1,,4,
Daniel Bertoni,4,,,,,,,2,2,,,,,,,,,
Claudio Caniggia,4,,,,,,,,,,2,2,,,,,,
Hernán Crespo,4,,,,,,,,,,,,,1,3,,,
René Houseman,4,,,,,,3,1,,,,,,,,,,
Leopoldo Luque,4,,,,,,,4,,,,,,,,,,
Jorge Valdano,4,,,,,,,,,4,,,,,,,,
Luis Artime,3,,,,,3,,,,,,,,,,,,
Jorge Burruchaga,3,,,,,,,,,2,1,,,,,,,
Omar Oreste Corbatta,3,,,3,,,,,,,,,,,,,,
Daniel Passarella,3,,,,,,,1,2,,,,,,,,,
Carlos Peucelle,3,3,,,,,,,,,,,,,,,,
Maxi Rodríguez,3,,,,,,,,,,,,,,3,,,
Carlos Tevez,3,,,,,,,,,,,,,,1,2,,
Luis Monti,2,2,,,,,,,,,,,,,,,,
Ariel Ortega,2,,,,,,,,,,,,2,,,,,
Héctor Yazalde,2,,,,,,2,,,,,,,,,,,
Adolfo Zumelzú,2,2,,,,,,,,,,,,,,,,
Sergio Agüero,1,,,,,,,,,,,,,,,,,1
Osvaldo Ardiles,1,,,,,,,,1,,,,,,,,,
Ludovico Avio,1,,,1,,,,,,,,,,,,,,
Roberto Ayala,1,,,,,,,,,,,,,,1,,,
Rubén Ayala,1,,,,,,1,,,,,,,,,,,
Carlos Babington,1,,,,,,1,,,,,,,,,,,
Abel Balbo,1,,,,,,,,,,,1,,,,,,
Ernesto Belis,1,,1,,,,,,,,,,,,,,,
Miguel Ángel Brindisi,1,,,,,,1,,,,,,,,,,,
José Luis Brown,1,,,,,,,,,1,,,,,,,,
Esteban Cambiasso,1,,,,,,,,,,,,,,1,,,
Martín Demichelis,1,,,,,,,,,,,,,,,1,,
Ramón Díaz,1,,,,,,,,1,,,,,,,,,
Ángel Di María,1,,,,,,,,,,,,,,,,1,
Mario Evaristo,1,1,,,,,,,,,,,,,,,,
Héctor Facundo,1,,,,1,,,,,,,,,,,,,
Alberto Galateo,1,,1,,,,,,,,,,,,,,,
Gabriel Heinze,1,,,,,,,,,,,,,,,1,,
Ramón Heredia,1,,,,,,1,,,,,,,,,,,
Claudio López,1,,,,,,,,,,,,1,,,,,
Norberto Menéndez,1,,,1,,,,,,,,,,,,,,
Pedro Monzón,1,,,,,,,,,,1,,,,,,,
Ermindo Onega,1,,,,,1,,,,,,,,,,,,
Martín Palermo,1,,,,,,,,,,,,,,,1,,
Pedro Pasculli,1,,,,,,,,,1,,,,,,,,
Mauricio Pineda,1,,,,,,,,,,,,1,,,,,
Marcos Rojo,1,,,,,,,,,,,,,,,,1,
Oscar Ruggeri,1,,,,,,,,,1,,,,,,,,
José Sanfilippo,1,,,,1,,,,,,,,,,,,,
Javier Saviola,1,,,,,,,,,,,,,,1,,,
Alejandro Scopelli,1,1,,,,,,,,,,,,,,,,
Alberto Tarantini,1,,,,,,,1,,,,,,,,,,
Pedro Troglio,1,,,,,,,,,,1,,,,,,,
Francisco Varallo,1,1,,,,,,,,,,,,,,,,
Javier Zanetti,1,,,,,,,,,,,,1,,,,,
Own goals,2,,,,,,,,,,,,,,,1,1,
Total,131,18,2,5,2,4,9,15,8,14,5,8,10,2,11,10,8,1