Player,Goals,1930,1934,1938,1954,1970,1982,1986,1990,1994,1998,2002,2014,2018
,,,,,,,,,,,,,,
Romelu Lukaku,5,,,,,,,,,,,,1,4
Marc Wilmots,5,,,,,,,,,,2,3,,
Jan Ceulemans,4,,,,,,,3,1,,,,,
Léopold Anoul,3,,,,3,,,,,,,,,
Nico Claesen,3,,,,,,,3,,,,,,
Enzo Scifo,3,,,,,,,2,1,,,,,
Philippe Albert,2,,,,,,,,,2,,,,
Kevin De Bruyne,2,,,,,,,,,,,,1,1
Marc Degryse,2,,,,,,,,1,1,,,,
Marouane Fellaini,2,,,,,,,,,,,,1,1
Eden Hazard,2,,,,,,,,,,,,,2
Raoul Lambert,2,,,,,2,,,,,,,,
Dries Mertens,2,,,,,,,,,,,,1,1
Wilfried Van Moer,2,,,,,2,,,,,,,,
Erwin Vandenbergh,2,,,,,,1,1,,,,,,
Jan Vertonghen,2,,,,,,,,,,,,1,1
Bernard Voorhoof,2,,2,,,,,,,,,,,
Michy Batshuayi,1,,,,,,,,,,,,,1
Nacer Chadli,1,,,,,,,,,,,,,1
Lei Clijsters,1,,,,,,,,1,,,,,
Ludo Coeck,1,,,,,,1,,,,,,,
Henri Coppens,1,,,,1,,,,,,,,,
Alexandre Czerniatynski,1,,,,,,1,,,,,,,
Michel De Wolf,1,,,,,,,,1,,,,,
Stéphane Demol,1,,,,,,,1,,,,,,
Georges Grün,1,,,,,,,,,1,,,,
Henri Isemborghs,1,,,1,,,,,,,,,,
Adnan Januzaj,1,,,,,,,,,,,,,1
Luc Nilis,1,,,,,,,,,,1,,,
Divock Origi,1,,,,,,,,,,,,1,
Wesley Sonck,1,,,,,,,,,,,1,,
Peter Van Der Heyden,1,,,,,,,,,,,1,,
Franky Vercauteren,1,,,,,,,1,,,,,,
Patrick Vervoort,1,,,,,,,,1,,,,,
Total,66,0,2,1,5,4,3,12,6,4,3,6,6,14