Player,Goals,1930,1950,1962,1966,1974,1982,1998,2010,2014
Leonel Sánchez,4,,,4,,,,,,
Marcelo Salas,4,,,,,,,4,,
Jean Beausejour,2,,,,,,,,1,1
Atilio Cremaschi,2,,2,,,,,,,
Rubén Marcos,2,,,,2,,,,,
Jaime Ramírez,2,,,2,,,,,,
Eladio Rojas,2,,,2,,,,,,
Alexis Sánchez,2,,,,,,,,,2
Guillermo Subiabre,2,2,,,,,,,,
Jorge Toro,2,,,2,,,,,,
Carlos Vidal,2,2,,,,,,,,
Sergio Ahumada,1,,,,,1,,,,
Charles Aránguiz,1,,,,,,,,,1
Mark González,1,,,,,,,,1,
Juan Carlos Letelier,1,,,,,,1,,,
Rodrigo Millar,1,,,,,,,,1,
Gustavo Moscoso,1,,,,,,1,,,
Miguel Ángel Neira,1,,,,,,1,,,
Andrés Prieto,1,,1,,,,,,,
Fernando Riera,1,,1,,,,,,,
George Robledo,1,,1,,,,,,,
José Luis Sierra,1,,,,,,,1,,
Jorge Valdivia,1,,,,,,,,,1
Eduardo Vargas,1,,,,,,,,,1
Own goals,1,1,,,,,,,,
Total,40,5,5,10,2,1,3,5,3,6