Player,Goals,1934,1938,1974,1978,1990,1994,1998,2006,2010,2014
Johnny Rep,7,,,4,3,,,,,,
Dennis Bergkamp,6,,,,,,3,3,,,
Rob Rensenbrink,6,,,1,5,,,,,,
Arjen Robben,6,,,,,,,,1,2,3
Wesley Sneijder,6,,,,,,,,,5,1
Robin van Persie,6,,,,,,,,1,1,4
Johan Neeskens,5,,,5,,,,,,,
Johan Cruyff,3,,,3,,,,,,,
Ernie Brandts,2,,,,2,,,,,,
Phillip Cocu,2,,,,,,,2,,,
Ronald de Boer,2,,,,,,,2,,,
Memphis Depay,2,,,,,,,,,,2
Arie Haan,2,,,,2,,,,,,
Klaas-Jan Huntelaar,2,,,,,,,,,1,1
Wim Jonk,2,,,,,,2,,,,
Patrick Kluivert,2,,,,,,,2,,,
Daley Blind,1,,,,,,,,,,1
Edgar Davids,1,,,,,,,1,,,
Theo de Jong,1,,,1,,,,,,,
Stefan de Vrij,1,,,,,,,,,,1
Leroy Fer,1,,,,,,,,,,1
Ruud Gullit,1,,,,,1,,,,,
Wim Kieft,1,,,,,1,,,,,
Ronald Koeman,1,,,,,1,,,,,
Ruud Krol,1,,,1,,,,,,,
Dirk Kuyt,1,,,,,,,,,1,
Dick Nanninga,1,,,,1,,,,,,
Marc Overmars,1,,,,,,,1,,,
Bryan Roy,1,,,,,,1,,,,
Kick Smit,1,1,,,,,,,,,
Gaston Taument,1,,,,,,1,,,,
Giovanni van Bronckhorst,1,,,,,,,,,1,
René van de Kerkhof,1,,,,1,,,,,,
Willy van de Kerkhof,1,,,,1,,,,,,
Pierre van Hooijdonk,1,,,,,,,1,,,
Ruud van Nistelrooy,1,,,,,,,,1,,
Leen Vente,1,1,,,,,,,,,
Georginio Wijnaldum,1,,,,,,,,,,1
Aron Winter,1,,,,,,1,,,,
Boudewijn Zenden,1,,,,,,,1,,,
Own goals,1,,,,,,,,,1,
Total,86,2,0,15,15,3,8,13,3,12,15