Player,Goals,1954,1986,1990,1994,1998,2002,2006,2010,2014,2018
Ahn Jung-hwan,3,,,,,,2,1,,,
Park Ji-sung,3,,,,,,1,1,1,,
Hong Myung-bo,2,,,,2,,,,,,
Hwang Sun-hong,2,,,,1,,1,,,,
Lee Chung-yong,2,,,,,,,,2,,
Lee Jung-soo,2,,,,,,,,2,,
Yoo Sang-chul,2,,,,,1,1,,,,
Choi Soon-ho,1,,1,,,,,,,,
Ha Seok-ju,1,,,,,1,,,,,
Hwangbo Kwan,1,,,1,,,,,,,
Huh Jung-moo,1,,1,,,,,,,,
Kim Jong-boo,1,,1,,,,,,,,
Koo Ja-cheol,1,,,,,,,,,1,
Lee Chun-soo,1,,,,,,,1,,,
Lee Eul-yong,1,,,,,,1,,,,
Lee Keun-ho,1,,,,,,,,,1,
Park Chang-sun,1,,1,,,,,,,,
Park Chu-young,1,,,,,,,,1,,
Seo Jung-won,1,,,,1,,,,,,
Seol Ki-hyeon,1,,,,,,1,,,,
Son Heung-min,1,,,,,,,,,1,
Song Chong-gug,1,,,,,,1,,,,
Total,31,0,4,1,4,2,8,3,6,3,0