Player,Goals,1930,1934,1950,1990,1994,1998,2002,2006,2010,2014
Landon Donovan,5,,,,,,,2,,3,
Clint Dempsey,4,,,,,,,,1,1,2
Bert Patenaude,4,4,,,,,,,,,
Brian McBride,3,,,,,,1,2,,,
Michael Bradley,1,,,,,,,,,1,
John Brooks,1,,,,,,,,,,1
Jim Brown,1,1,,,,,,,,,
Paul Caligiuri,1,,,,1,,,,,,
Aldo Donelli,1,,1,,,,,,,,
Tom Florie,1,1,,,,,,,,,
Joe Gaetjens,1,,,1,,,,,,,
Julian Green,1,,,,,,,,,,1
Jermaine Jones,1,,,,,,,,,,1
Joe Maca,1,,,1,,,,,,,
Clint Mathis,1,,,,,,,1,,,
Bart McGhee,1,1,,,,,,,,,
Bruce Murray,1,,,,1,,,,,,
John O'Brien,1,,,,,,,1,,,
Gino Pariani,1,,,1,,,,,,,
Earnie Stewart,1,,,,,1,,,,,
Frank Wallace,1,,,1,,,,,,,
Eric Wynalda,1,,,,,1,,,,,
Own goals,3,,,,,1,,1,1,,
Total,37,7,1,4,2,3,1,7,2,5,5